ANT1,8.89,117.98,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1-EP-DR,0.42,91.14,0.00,10uF,NORDIC_NRF_3_RESC0402_M
C10,-26.67,96.02,270.00,GRM011R60J152KE01L_1_GRM011R60J152KE01L,GRM011R60J152KE01L_1_0201
C11,-20.51,101.60,90.00,GRM011R60J152KE01L_1_GRM011R60J152KE01L,GRM011R60J152KE01L_1_0201
C12,7.62,113.03,180.00,100pF,NORDIC_NRF_3_RESC0402_M
C13,-22.68,112.85,180.00,N.C,NORDIC_NRF_3_RESC0402_M
C15,-23.36,119.68,270.00,1uF,NORDIC_NRF_3_RESC0402_M
C16,-26.10,117.92,270.00,47nF,NORDIC_NRF_3_RESC0402_M
C17,-13.97,120.55,180.00,12pF,NORDIC_NRF_3_RESC0402_M
C18,8.89,110.49,90.00,12pF,NORDIC_NRF_3_RESC0402_M
C2,-19.05,103.64,0.00,GRM011R60J152KE01L_1_GRM011R60J152KE01L,GRM011R60J152KE01L_1_0201
C2-EP-DR,7.62,105.41,180.00,4.7uF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,-6.35,113.03,0.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C21,-21.59,90.17,180.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C23,6.35,95.25,90.00,0.1uF,NORDIC_NRF_3_RESC0402_M
C24,8.89,92.85,90.00,10uF,NORDIC_NRF_3_RESC0402_M
C25,14.32,91.73,0.00,22uF,NORDIC_NRF_3_RESC0402_M
C3,-12.70,107.45,90.00,1uF,GRM011R60J152KE01L_1_0201
C33,14.73,94.12,0.00,22uF,NORDIC_NRF_3_RESC0402_M
C37,-13.30,115.47,0.00,1uF,NORDIC_NRF_3_RESC0402_M
C38,-24.57,115.64,180.00,1uF,NORDIC_NRF_3_RESC0402_M
C39,12.68,90.22,0.00,10uF,NORDIC_NRF_3_RESC0402_M
C4,-21.59,96.02,270.00,0.1uF,GRM011R60J152KE01L_1_0201
C42,-20.32,108.45,90.00,GRM011R60J152KE01L_1_GRM011R60J152KE01L,GRM011R60J152KE01L_1_0201
C43,14.20,117.80,90.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C5,-24.13,96.33,90.00,GRM011R60J152KE01L_1_GRM011R60J152KE01L,GRM011R60J152KE01L_1_0201
C6,4.71,114.27,180.00,4.7uF,NORDIC_NRF_3_RESC0402_M
C7,15.55,96.52,90.00,100nF,NORDIC_NRF_3_RESC0402_M
C8,4.65,115.57,0.00,100nF,NORDIC_NRF_3_RESC0402_M
C9,-2.56,113.03,180.00,820pF,NORDIC_NRF_3_RESC0402_M
CC1,14.95,101.60,0.00,12pF,NORDIC_NRF_3_RESC0402_M
CC10,-20.32,114.30,90.00,N.C,NORDIC_NRF_3_RESC0402_M
